Date,Open,High,Low,Close
02/20/15, 963.84, 975.93, 958.99, 974.12
02/19/15, 962.31, 967.91, 952.19, 964.94
02/18/15, 972.43, 980.79, 963.94, 970.41
02/17/15, 979.99, 979.99, 965.28, 972.43
02/13/15, 960.83, 981.57, 960.83, 980.19
02/12/15, 943.76, 953.20, 942.99, 951.82
02/11/15, 920.88, 929.98, 910.21, 926.83
02/10/15, 939.20, 939.20, 918.58, 926.62
02/09/15, 930.04, 956.14, 929.99, 946.09
02/06/15, 930.13, 935.97, 923.96, 926.28
02/05/15, 921.16, 938.11, 921.16, 936.34
02/04/15, 930.15, 930.15, 913.71, 918.11
02/03/15, 911.87, 942.34, 911.87, 941.22
02/02/15, 885.59, 902.44, 882.75, 900.53
01/30/15, 869.16, 890.74, 862.71, 883.12
01/29/15, 888.11, 891.72, 868.52, 879.14
01/28/15, 906.57, 908.02, 885.13, 886.17
01/27/15, 892.37, 905.21, 887.57, 900.40
01/26/15, 895.03, 904.88, 887.09, 901.70
01/23/15, 923.05, 923.28, 896.58, 896.59
01/22/15, 936.99, 941.53, 927.29, 940.83
01/21/15, 910.29, 929.71, 907.99, 929.35
01/20/15, 916.83, 917.92, 905.91, 913.33
01/16/15, 897.76, 917.08, 897.76, 917.05
01/15/15, 906.80, 911.28, 892.87, 894.77
01/14/15, 907.47, 908.12, 880.05, 898.68
01/13/15, 942.75, 947.85, 921.36, 926.74
01/12/15, 949.58, 949.58, 924.35, 940.33
01/09/15, 968.56, 968.56, 952.52, 959.61
01/08/15, 959.27, 975.26, 955.72, 971.15
01/07/15, 955.82, 961.38, 948.82, 956.86
01/06/15, 945.80, 956.75, 932.84, 942.83
01/05/15, 960.35, 960.35, 934.68, 939.91
01/02/15, 987.29, 991.47, 972.88, 979.56
12/31/14, 999.48, 1003.84, 986.30, 990.61
12/30/14, 994.16, 1008.00, 993.35, 998.87
12/29/14, 989.52, 1001.67, 988.41, 993.16
12/26/14, 985.72, 999.94, 985.53, 989.52
12/24/14, 982.10, 985.16, 973.07, 981.36
12/23/14, 977.52, 991.24, 973.85, 984.77
12/22/14, 991.80, 993.93, 971.62, 974.60
12/19/14, 964.90, 994.58, 963.96, 992.41
12/18/14, 965.80, 977.93, 952.71, 965.62
12/17/14, 923.21, 960.01, 923.21, 955.70
12/16/14, 924.20, 945.52, 917.91, 923.21
12/15/14, 939.57, 943.23, 915.63, 915.66
12/12/14, 963.74, 964.22, 937.33, 937.37
12/11/14, 978.46, 983.35, 967.80, 968.92
12/10/14, 1013.44, 1013.44, 983.78, 984.94
