Date,STEEL
2017-09-21,1163.68994140625
2017-09-22,1152.3399658203125
2017-09-25,1136.9100341796875
2017-09-26,1138.739990234375
2017-09-27,1147.6400146484375
2017-09-28,1145.219970703125
2017-09-29,1157.280029296875
2017-10-02,1170.47998046875
2017-10-03,1180.5799560546875
2017-10-04,1183.010009765625
2017-10-05,1180.199951171875
2017-10-06,1174.25
2017-10-09,1152.199951171875
2017-10-10,1155.510009765625
2017-10-11,1155.77001953125
2017-10-12,1164.969970703125
2017-10-13,1208.31005859375
2017-10-16,1203.4200439453125
2017-10-17,1191.199951171875
2017-10-18,1193.06005859375
2017-10-19,1200.4100341796875
2017-10-20,1211.3199462890625
2017-10-23,1199.9200439453125
2017-10-24,1219.780029296875
2017-10-25,1207.18994140625
2017-10-26,1195.5799560546875
